index,target
2739,KLRC2
2774,MIF
4477,DGKH
165,HLA-DPA1
465,WASF3
3049,PLG
2639,HTR7
544,CDIPT
4434,PFKFB3
1892,PARD6A
5141,CBR1
1989,MKNK2
4492,NOX1
171,KIR2DL1
1195,NOTCH2
4429,CPS1
5115,CPT1C
172,RHOG
2004,PSEN1
1888,SHMT2
566,HLA-DPB1
5117,OSM
4873,NT5C3A
1221,XDH
3638,GLYCTK
3365,PARD6G
470,CHRNA7
2746,IL15RA
5134,HTR6
1253,NT5C
5143,ST8SIA1
4441,BMP7
4452,ACSL6
1928,CYP4A11
560,SMAD1
4935,PTTG1
3635,SPI1
4938,IL22
1236,COL6A6
3067,IL15
4465,CD4
1903,SLC25A6
4496,HLA-DRB1
5129,CD8A
1956,CXCL11
155,PHKA1
1219,PRKCH
1944,POLE2
184,TNFSF14
4508,NLRC4
2087,NPY
3996,ACSL5
1132,DMD
1128,HMOX1
3993,B4GALT2
2626,CSH1
5089,EDNRB
223,ACAA2
1119,PDYN
2100,NLRP3
581,ACADS
4551,AKR1C2
2079,CHRM5
1113,CDK5
3983,POLD3
1102,CACNA1E
1101,NT5C2
4557,OGDHL
234,IL13
2994,PIKFYVE
2115,ST3GAL2
4860,NT5M
3422,HLA-DOB
4562,MAP3K2
586,AKR1A1
2118,HLA-DMA
5086,SLC25A31
4042,KIR3DL1
4001,ACOX3
3007,HLA-DQB1
1169,COL6A2
190,DGKG
4035,IL12RB1
4034,CYP7A1
2019,AADAT
1159,NOTCH4
455,PDE1C
1156,THBS2
2033,RRM2B
2034,PTPRC
2763,HPD
4022,LDHAL6A
3003,OXTR
2628,RRM2
2627,OXCT1
4524,KLRD1
2059,CD19
3407,CSF2RB
4012,FSHB
3010,ATR
4010,POLE3
2066,DDIT4
4532,PCCB
1137,POLD4
4006,INHBA
3652,RPTOR
202,NT5C1B-RDH14
3107,CARNS1
690,ADRB3
1884,IBSP
3204,STAT6
3201,PHKA2
1460,HLA-DMB
4223,CSF2RA
3200,GNA14
4339,GCDH
3198,ST3GAL1
514,DGAT1
2705,HMGCL
4906,MCEE
5183,CSF2
4214,RELN
3603,TH
5182,ACVR2A
1726,CCNB3
5180,HLA-DRB5
481,ITPKB
4904,DGKD
4205,INHBC
1447,ETS2
2701,LDHAL6B
5173,CACNA1I
1745,CXCL10
1437,CCL3L1
4198,HLA-F
85,PYGL
1453,SGK1
1468,EGLN2
4230,HCLS1
3304,POLD2
1587,AKR1C3
1596,MTR
2,PHKG2
3,DGKE
1607,CD3G
1609,CD44
1610,ID2
484,THBS4
7,HIBCH
8,SLC2A2
1631,EPOR
4294,VAMP2
1550,KCNQ1
11,HMGCLL1
1541,HLA-DOA
1649,CNGA1
22,PHKG1
1531,FDPS
3597,ACSBG1
1518,CCL25
2719,AOC3
2709,FASN
3588,VDAC2
3209,PYGB
1498,HLA-DQA2
1497,GLUL
2706,DGKQ
4358,CXCL9
4426,PFKFB2
1752,C5
1434,CD247
4148,GLA
1835,CHAD
2687,PDX1
1839,ACVR2B
4406,PFKM
1322,SHMT1
4141,PTPRF
4138,ILK
1317,PFKFB1
1851,HSD17B7
2677,DLAT
4413,PNP
3122,GGT5
3624,BST1
1307,ADCYAP1R1
3355,ADCY10
3109,VDAC1
1874,ADIPOR1
1875,EGLN3
1301,MAGI2
1878,MALT1
1300,CARD11
1882,NCF2
1296,SFN
4118,ACSS2
2121,COL6A3
2676,GNA15
1332,PIP4K2A
5151,CCKAR
3123,ITPA
480,CD8B
3329,SREBF1
1768,CD3D
1402,RAB5A
476,GADL1
3614,GRHPR
3153,CCL3L3
1779,EIF4B
4178,LCK
4177,PDE1A
4176,CCR10
5162,ADRBK1
3149,VDR
2732,ANAPC13
4379,INHBE
112,RALBP1
1381,PIP4K2C
5157,TCF3
2689,SLC25A5
1353,CCR5
4395,POLD1
2736,CYBA
1351,KL
1819,CCL21
1344,KIR3DL2
1826,DGKZ
1335,COL6A1
86,LHB
4116,CTLA4
218,CCL3
2331,DGKB
5019,CSH2
2778,NT5C3B
3856,ALDH6A1
2452,ALDOC
652,CAPN2
2451,DLG1
4960,ATP6AP1
2308,FSHR
2309,MEF2C
4664,LIMK1
654,GAPDH
2577,LIF
3846,F2RL3
2319,LIMK2
4816,CTNND1
3486,PIK3C3
2445,GNAT3
2897,DGKA
2443,OGDH
2894,CPT1A
3553,ABL2
2327,KIR2DL5A
3861,HLA-DQA1
4797,MAD2L2
5031,GGT1
741,ELMO1
4761,CSF3
4651,MYH14
2472,B4GALT1
2407,GSK3A
3876,SMO
2276,HLA-DRB4
2814,IRF1
335,PTCH2
4954,HLA-DRB3
754,NCF4
3870,CDC20
2290,PARD6B
948,MUT
2915,COMP
2780,NOX3
4662,POLE
682,SRF
4756,TP73
956,CYP17A1
1089,ITPKC
