index,target
2582,ASPA
3682,PCLO
2572,PIGK
3691,CHRNA6
2556,OR6C75
3696,OR4N4
2559,CHPF
3057,HIST2H2AA3
2561,STX2
2562,UROD
3694,HCFC2
3052,MED13
3056,GBA2
2564,BCKDHA
2565,PSAT1
2567,ORC1
3054,CHSY3
3692,KMT2A
3383,HCAR2
2570,FUT9
3055,SMAD6
2593,SMURF2
3050,GIP
3385,RPN2
3390,L3HYPDH
2614,IRF8
3392,PPP1R14A
3393,CRLS1
2615,OR14J1
2617,JUNB
2618,OR7G1
2612,TRIM71
2619,OR4A5
3038,LIPT2
3661,NLGN3
3660,NFKBIZ
3658,IL33
3657,MIRLET7A1
3653,OXSM
3651,PIPOX
3662,CYP11A1
2611,FOXP3
3042,DDOST
2610,H3F3A
2595,APH1A
2597,MIR92A1
3677,HIST1H3E
2599,PIGQ
2600,CTSB
3048,MIR107
3386,OR5M10
3387,PGM2L1
3045,PTMA
3676,OR52D1
2604,MIR31
3675,ZEB2
3388,SHANK1
2606,ELOVL7
2608,SARS2
3667,OR5M3
